-9;-9,-1;*
-8;-9,-1;*
-7;-9,-1;*
-6;-9,-1;*
-5;-9,-1;*
-4;-9,-1;*
-3;-9,-1;*
-2;-9,-1;*
-1;-9,-1;*
001;1,9;1,139;*
002;1,9;1,139;*
003;1,9;1,139;*
004;1,9;1,139;*
005;1,9;1,139;*
006;1,9;1,139;*
007;1,9;1,139;*
008;1,9;1,139;*
009;1,9;1,139;*
010;10,18;1,139;*
011;10,18;1,139;*
012;10,18;1,139;*
013;10,18;1,139;*
014;10,18;1,139;*
015;10,18;1,139;*
016;10,18;1,139;*
017;10,18;1,139;*
018;10,18;1,139;*
020;20,27;1,139;*
021;20,27;1,139;*
022;20,27;1,139;*
023;20,27;1,139;*
024;20,27;1,139;*
025;20,27;1,139;*
026;20,27;1,139;*
027;20,27;1,139;*
030;30,41;1,139;*
031;30,41;1,139;*
032;30,41;1,139;*
033;30,41;1,139;*
034;30,41;1,139;*
035;30,41;1,139;*
036;30,41;1,139;*
037;30,41;1,139;*
038;30,41;1,139;*
039;30,41;1,139;*
040;30,41;1,139;*
041;30,41;1,139;*
042;1,139;*
045;45,49;1,139;*
046;45,49;1,139;*
047;45,49;1,139;*
048;45,49;1,139;*
049;45,49;1,139;*
050;50,59;1,139;*
051;50,59;1,139;*
052;50,59;1,139;*
053;50,59;1,139;*
054;50,59;1,139;*
055;50,59;1,139;*
056;50,59;1,139;*
057;50,59;1,139;*
058;50,59;1,139;*
059;50,59;1,139;*
060;60,66;1,139;*
061;60,66;1,139;*
062;60,66;1,139;*
063;60,66;1,139;*
064;60,66;1,139;*
065;60,66;1,139;*
066;60,66;1,139;*
070;70,79;1,139;*
071;70,79;1,139;*
072;70,79;1,139;*
073;70,79;1,139;*
074;70,79;1,139;*
075;70,79;1,139;*
076;70,79;1,139;*
077;70,79;1,139;*
078;70,79;1,139;*
079;70,79;1,139;*
080;80,88;1,139;*
081;80,88;1,139;*
082;80,88;1,139;*
083;80,88;1,139;*
084;80,88;1,139;*
085;80,88;1,139;*
086;80,88;1,139;*
087;80,88;1,139;*
088;80,88;1,139;*
090;90,99;1,139;*
091;90,99;1,139;*
092;90,99;1,139;*
093;90,99;1,139;*
094;90,99;1,139;*
095;90,99;1,139;*
096;90,99;1,139;*
097;90,99;1,139;*
098;90,99;1,139;*
099;90,99;1,139;*
100;100,104;1,139;*
101;100,104;1,139;*
102;100,104;1,139;*
103;100,104;1,139;*
104;100,104;1,139;*
110;110,118;1,139;*
111;110,118;1,139;*
112;110,118;1,139;*
113;110,118;1,139;*
114;110,118;1,139;*
115;110,118;1,139;*
116;110,118;1,139;*
117;110,118;1,139;*
118;110,118;1,139;*
120;120,129;1,139;*
121;120,129;1,139;*
122;120,129;1,139;*
123;120,129;1,139;*
124;120,129;1,139;*
125;120,129;1,139;*
126;120,129;1,139;*
127;120,129;1,139;*
128;120,129;1,139;*
129;120,129;1,139;*
130;130,136;1,139;*
131;130,136;1,139;*
132;130,136;1,139;*
133;130,136;1,139;*
134;130,136;1,139;*
135;130,136;1,139;*
136;130,136;1,139;*
137;137,139;1,139;*
138;137,139;1,139;*
139;137,139;1,139;*
140;140,149;140,239;*
141;140,149;140,239;*
142;140,149;140,239;*
143;140,149;140,239;*
144;140,149;140,239;*
145;140,149;140,239;*
146;140,149;140,239;*
147;140,149;140,239;*
148;140,149;140,239;*
149;140,149;140,239;*
150;150,159;140,239;*
151;150,159;140,239;*
152;150,159;140,239;*
153;150,159;140,239;*
154;150,159;140,239;*
155;150,159;140,239;*
156;150,159;140,239;*
157;150,159;140,239;*
158;150,159;140,239;*
159;150,159;140,239;*
160;160,165;140,239;*
161;160,165;140,239;*
162;160,165;140,239;*
163;160,165;140,239;*
164;160,165;140,239;*
165;160,165;140,239;*
170;170,176;140,239;*
171;170,176;140,239;*
172;170,176;140,239;*
173;170,176;140,239;*
174;170,176;140,239;*
175;170,176;140,239;*
176;170,176;140,239;*
179;179,189;140,239;*
180;179,189;140,239;*
181;179,189;140,239;*
182;179,189;140,239;*
183;179,189;140,239;*
184;179,189;140,239;*
185;179,189;140,239;*
186;179,189;140,239;*
187;179,189;140,239;*
188;179,189;140,239;*
189;179,189;140,239;*
190;190,199;140,239;*
191;190,199;140,239;*
192;190,199;140,239;*
193;190,199;140,239;*
194;190,199;140,239;*
195;190,199;140,239;*
